Sample.1	Sample.2	Sample.3	Sample.4	Sample.5	Sample.6	Sample.7	Sample.8	Sample.9	Sample.10	Sample.11	Sample.12	Sample.13	Sample.14	Sample.15	Sample.16	Sample.17	Sample.18	Sample.19	Sample.20	Sample.21	Sample.22	Sample.23	Sample.24	Sample.25	Sample.26	Sample.27	Sample.28	Sample.29	Sample.30	Sample.31	Sample.32	Sample.33	Sample.34	Sample.35	Sample.36	Sample.37	Sample.38	Sample.39	Sample.40	Sample.41	Sample.42	Sample.43	Sample.44	Sample.45	Sample.46	Sample.47	Sample.48	Sample.49	Sample.50	Sample.51	Sample.52	Sample.53	Sample.54	Sample.55	Sample.56	Sample.57	Sample.58	Sample.59	Sample.60	Sample.61	Sample.62	Sample.63	Sample.64	Sample.65	Sample.66	Sample.67	Sample.68	Sample.69	Sample.70	Sample.71	Sample.72	Sample.73	Sample.74	Sample.75	Sample.76	Sample.77	Sample.78	Sample.79	Sample.80	Sample.81	Sample.82	Sample.83	Sample.84	Sample.85	Sample.86	Sample.87	Sample.88	Sample.89	Sample.90
Sample.1	0	0.982456140350877	0.897058823529412	0.861702127659574	0.947368421052632	0.986301369863014	0.88135593220339	1	1	0.904109589041096	1	0.975609756097561	0.981481481481482	0.927272727272727	0.98019801980198	1	0.96551724137931	0.961538461538462	0.917525773195876	1	1	0.961538461538462	1	0.91044776119403	0.98989898989899	0.927272727272727	0.927536231884058	0.992805755395683	1	1	1	0.940298507462687	0.98876404494382	0.949152542372881	1	1	0.985074626865672	0.986842105263158	1	1	0.976470588235294	0.963302752293578	1	1	0.970588235294118	0.985714285714286	0.907216494845361	0.935064935064935	1	0.967213114754098	1	0.946666666666667	0.986666666666667	1	0.980769230769231	0.978494623655914	1	0.955223880597015	0.964912280701754	0.980769230769231	1	0.923076923076923	0.914285714285714	1	0.932203389830508	1	1	0.989130434782609	1	1	1	1	1	0.963636363636364	0.967741935483871	0.922222222222222	0.979591836734694	0.979591836734694	0.983606557377049	1	0.989247311827957	0.963636363636364	0.982758620689655	0.931034482758621	1	1	0.966666666666667	0.983606557377049	1	1
Sample.2	0.982456140350877	0	0.98	1	1	0.979591836734694	0.975609756097561	1	1	1	1	1	0.966666666666667	1	1	1	0.989473684210526	1	0.9875	0.952380952380952	0.981818181818182	0.982142857142857	1	1	0.986666666666667	1	1	1	1	1	1	1	0.984615384615385	0.944444444444444	1	1	1	0.980769230769231	1	0.956521739130435	1	0.988636363636364	1	0.985294117647059	1	0.978260869565217	0.987654320987654	1	0.972222222222222	1	1	0.981481481481482	1	1	1	1	1	1	0.970588235294118	1	0.985714285714286	0.988505747126437	1	1	1	1	1	1	1	0.976744186046512	1	1	1	1	0.974358974358974	0.986111111111111	1	1	1	1	1	1	1	0.972972972972973	1	0.982456140350877	1	1	1	1
Sample.3	0.897058823529412	0.98	0	0.924731182795699	0.957142857142857	1	0.907407407407407	1	0.989583333333333	0.957142857142857	1	1	1	0.96	1	1	1	0.978260869565217	0.934782608695652	0.945945945945946	1	0.986301369863014	1	0.918032786885246	0.989130434782609	0.893617021276596	0.984848484848485	0.992424242424242	1	1	0.945945945945946	0.950819672131147	0.975308641975309	0.981481481481482	1	0.986111111111111	0.966101694915254	0.985507246376812	1	0.984375	1	0.990476190476191	0.987951807228916	0.988235294117647	1	1	0.946808510638298	0.986486486486487	1	0.962962962962963	1	0.971428571428571	0.970149253731343	0.984126984126984	0.977777777777778	1	0.983050847457627	0.932203389830508	0.980392156862745	0.977777777777778	0.988505747126437	0.96039603960396	0.954545454545455	1	0.943396226415094	1	0.984126984126984	0.963855421686747	1	0.983333333333333	0.978723404255319	0.982758620689655	1	0.958333333333333	1	0.941176470588235	1	0.976190476190476	0.942307692307692	0.985294117647059	1	0.936170212765957	0.980392156862745	0.962264150943396	0.98	0.986486486486487	0.962264150943396	0.981481481481482	1	0.976744186046512
Sample.4	0.861702127659574	1	0.924731182795699	0	0.939393939393939	0.989795918367347	0.916666666666667	1	1	0.846153846153846	1	0.981308411214953	0.974358974358974	0.936708860759494	0.984126984126984	0.992805755395683	0.964285714285714	0.974025974025974	0.925619834710744	1	1	0.990476190476191	0.989130434782609	0.898876404494382	0.991935483870968	0.962962962962963	0.923913043478261	0.987730061349693	1	1	0.971014492753623	0.933333333333333	0.982300884955752	0.976470588235294	1	0.980582524271845	0.966666666666667	0.96969696969697	1	1	0.962962962962963	0.977777777777778	0.991304347826087	0.982758620689655	0.956043956043956	0.989473684210526	0.850877192982456	0.950980392156863	0.988235294117647	0.976744186046512	1	0.96	0.97979797979798	1	0.96	0.983050847457627	0.989010989010989	0.956043956043956	0.936708860759494	0.973684210526316	1	0.904	0.97979797979798	1	0.952380952380952	1	0.978723404255319	0.973913043478261	0.982300884955752	1	0.974358974358974	0.988888888888889	0.988505747126437	0.962025316455696	0.965116279069767	0.900900900900901	1	0.986486486486487	0.964285714285714	0.99	1	0.962025316455696	1	0.964285714285714	0.975308641975309	1	0.976470588235294	0.988372093023256	1	0.986666666666667
Sample.5	0.947368421052632	1	0.957142857142857	0.939393939393939	0	1	0.967741935483871	1	0.99009900990099	0.96	0.978723404255319	0.975	1	1	0.99	0.991071428571429	0.964912280701754	1	0.927083333333333	1	1	1	1	1	1	0.963636363636364	0.956521739130435	0.985294117647059	1	1	0.976744186046512	0.970149253731343	0.988505747126437	0.983050847457627	1	1	0.984615384615385	1	1	0.985507246376812	0.975903614457831	0.981651376146789	0.977011494252874	0.988888888888889	0.96969696969697	1	0.927835051546392	0.987341772151899	0.982758620689655	0.983333333333333	1	0.973333333333333	0.986301369863014	1	0.98	0.989130434782609	1	0.96969696969697	0.982142857142857	0.98	0.989130434782609	0.92156862745098	0.942857142857143	1	0.966101694915254	0.986666666666667	1	0.97752808988764	0.976744186046512	1	0.980769230769231	0.984126984126984	1	1	0.983606557377049	0.978494623655914	0.978723404255319	0.978723404255319	0.96551724137931	0.986301369863014	0.989010989010989	0.942307692307692	1	0.983050847457627	0.981818181818182	0.961038961038961	1	0.983050847457627	1	0.979166666666667
Sample.6	0.986301369863014	0.979591836734694	1	0.989795918367347	1	0	0.964285714285714	1	1	0.985915492957746	0.98876404494382	1	0.955555555555556	1	0.98936170212766	0.990566037735849	0.990990990990991	1	1	0.944444444444444	0.956521739130435	0.957142857142857	1	0.968253968253968	0.977777777777778	1	1	0.99236641221374	1	0.983606557377049	1	1	0.948717948717949	0.981132075471698	1	0.985915492957746	0.983050847457627	0.970149253731343	0.978260869565217	0.950819672131147	1	0.980582524271845	1	0.963414634146341	1	0.967213114754098	1	0.986301369863014	1	0.981481481481482	1	0.985714285714286	0.985074626865672	1	0.977272727272727	1	1	1	0.959183673469388	0.977272727272727	0.988372093023256	0.990291262135922	1	1	0.981481481481482	0.985507246376812	1	0.988095238095238	1	0.947368421052632	1	1	1	0.979166666666667	1	1	1	1	1	1	1	1	0.98	1	1	1	0.981132075471698	0.981132075471698	1	1
Sample.7	0.88135593220339	0.975609756097561	0.907407407407407	0.916666666666667	0.967741935483871	0.964285714285714	0	1	0.988505747126437	0.836363636363636	1	1	0.973684210526316	0.897435897435897	0.976470588235294	1	0.990291262135922	0.914285714285714	0.977011494252874	0.96551724137931	1	0.968253968253968	0.980392156862745	0.86	0.987951807228916	0.925	0.925925925925926	1	1	1	0.96551724137931	0.942307692307692	0.957746478873239	0.904761904761905	1	0.984126984126984	0.938775510204082	0.948275862068966	1	1	0.985714285714286	0.989583333333333	1	0.986842105263158	0.981132075471698	0.981481481481482	0.941176470588235	0.952380952380952	1	0.955555555555556	1	0.983870967741935	0.96551724137931	0.981481481481482	0.942857142857143	0.987179487179487	0.98	0.941176470588235	0.925	0.942857142857143	0.987179487179487	0.933333333333333	0.96551724137931	1	0.906976744186046	1	1	0.973333333333333	1	1	0.945945945945946	0.979591836734694	1	0.921052631578947	0.978723404255319	0.961538461538462	1	0.9375	0.904761904761905	1	0.987012987012987	0.921052631578947	0.951219512195122	0.954545454545455	0.975609756097561	0.984615384615385	0.904761904761905	0.954545454545455	1	0.970588235294118
Sample.8	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.9875	1	1	1	1	1	1	1	1	1	0.990196078431373	1	1	1	1	1	1	1	1	1	1	0.990476190476191	0.98780487804878	1	0.991525423728814	0.98936170212766	1	1	1	1	1	1	1	0.990654205607477	0.987341772151899	1	0.971428571428571	0.984615384615385	1	0.991935483870968	1	1	1	1	1	1	1	1	1	1	0.986666666666667	0.985507246376812	0.986842105263158	0.990825688073395	1	1	1	1	0.990566037735849	1	1	0.986486486486487	1	0.98936170212766	1	1	1	1
Sample.9	1	1	0.989583333333333	1	0.99009900990099	1	0.988505747126437	1	0	1	1	0.990476190476191	1	1	0.991935483870968	1	1	1	0.992063492063492	0.985074626865672	1	1	1	0.98936170212766	1	1	1	0.993788819875776	1	1	1	0.989130434782609	0.990990990990991	0.987951807228916	1	0.99009900990099	0.98876404494382	1	1	0.989247311827957	1	0.992537313432836	1	0.991228070175439	0.989010989010989	1	1	1	1	1	1	0.99	1	1	1	1	0.988636363636364	1	0.9875	1	1	0.984848484848485	0.989690721649485	1	0.988095238095238	1	1	1	0.990990990990991	1	1	1	1	1	1	0.991525423728814	1	1	1	1	0.991304347826087	1	1	0.987951807228916	1	0.980392156862745	0.987951807228916	1	1	1
Sample.10	0.904109589041096	1	0.957142857142857	0.846153846153846	0.96	0.985915492957746	0.836363636363636	1	1	0	1	0.987654320987654	0.980769230769231	0.924528301886792	0.99	0.991071428571429	0.982758620689655	0.96	0.927083333333333	1	1	0.987179487179487	0.984615384615385	0.924242424242424	0.989690721649485	1	0.971428571428571	0.992700729927007	1	1	0.976744186046512	0.985294117647059	0.976744186046512	0.947368421052632	1	1	0.952380952380952	0.958333333333333	1	1	0.975903614457831	0.990909090909091	1	0.988888888888889	0.96969696969697	0.985294117647059	0.938775510204082	0.961038961038961	0.964912280701754	1	1	0.986842105263158	0.972222222222222	0.985294117647059	0.98	0.978021978021978	1	0.920634920634921	0.963636363636364	0.98	1	0.942307692307692	0.986301369863014	1	0.966101694915254	1	1	0.988888888888889	1	1	0.96078431372549	1	0.983333333333333	0.962264150943396	0.983606557377049	0.956043956043956	1	1	0.947368421052632	1	1	0.942307692307692	1	0.983050847457627	1	1	0.947368421052632	1	1	1
Sample.11	1	1	1	1	0.978723404255319	0.98876404494382	1	1	1	1	0	0.979591836734694	1	1	0.965217391304348	1	0.977443609022556	1	0.983193277310924	1	1	1	1	0.988636363636364	0.982456140350877	1	1	0.987012987012987	1	0.988235294117647	1	1	1	1	1	1	1	1	1	0.976744186046512	0.990196078431373	1	1	0.990740740740741	0.976190476190476	1	0.991735537190083	1	0.986842105263158	1	1	0.98936170212766	1	1	1	0.981651376146789	1	1	1	1	1	0.992125984251969	1	1	1	0.978260869565217	1	1	0.980769230769231	1	1	0.987654320987654	1	1	1	1	0.984615384615385	1	1	1	0.990825688073395	1	1	1	1	0.989690721649485	1	1	1	1
Sample.12	0.975609756097561	1	1	0.981308411214953	0.975	1	1	1	0.990476190476191	0.987654320987654	0.979591836734694	0	1	0.983333333333333	0.980582524271845	1	0.983333333333333	1	0.971153846153846	1	1	1	1	0.986486486486487	0.99009900990099	1	0.972972972972973	0.99290780141844	1	1	1	1	1	1	1	0.987654320987654	1	1	1	1	0.977011494252874	1	0.978021978021978	1	0.971428571428571	1	0.951456310679612	1	0.983870967741935	1	1	0.9875	1	1	1	0.968085106382979	1	1	1	1	1	0.944444444444444	1	1	1	0.987341772151899	1	1	0.977777777777778	1	1	0.985074626865672	1	1	1	0.979381443298969	0.96	1	1	1	0.945054945054945	1	0.983333333333333	0.984126984126984	1	1	1	1	1	1
Sample.13	0.981481481481482	0.966666666666667	1	0.974358974358974	1	0.955555555555556	0.973684210526316	1	1	0.980769230769231	1	1	0	1	1	0.988505747126437	1	1	1	0.944444444444444	0.980769230769231	0.961538461538462	0.975	0.954545454545455	0.986111111111111	1	1	1	1	1	1	1	0.967213114754098	0.970588235294118	1	0.96078431372549	1	0.979591836734694	0.962962962962963	0.977272727272727	1	0.988235294117647	1	0.984615384615385	1	0.976744186046512	0.987179487179487	0.981481481481482	0.9375	0.971428571428571	1	0.980392156862745	0.979166666666667	1	0.96	1	1	0.976190476190476	0.967741935483871	0.916666666666667	1	1	1	1	0.971428571428571	0.98	0.976744186046512	0.984615384615385	1	0.975	1	1	1	0.96551724137931	0.942857142857143	1	1	1	1	1	1	1	0.933333333333333	1	0.966666666666667	1	0.970588235294118	0.970588235294118	1	1
Sample.14	0.927272727272727	1	0.96	0.936708860759494	1	1	0.897435897435897	1	1	0.924528301886792	1	0.983333333333333	1	0	1	0.989010989010989	1	0.892857142857143	0.975	1	1	0.982456140350877	1	0.936170212765957	1	0.941176470588235	0.98	1	1	1	0.954545454545455	0.956521739130435	0.969230769230769	1	1	1	0.977272727272727	1	1	1	1	1	1	1	0.978260869565217	1	0.98780487804878	0.982758620689655	1	0.974358974358974	1	1	1	1	0.96551724137931	1	1	1	0.941176470588235	0.96551724137931	1	0.988636363636364	1	1	0.947368421052632	0.942307692307692	1	1	1	1	0.933333333333333	0.976190476190476	0.947368421052632	0.96969696969697	1	0.986301369863014	1	0.961538461538462	0.945945945945946	1	1	0.9375	0.971428571428571	0.973684210526316	0.970588235294118	1	0.973684210526316	0.973684210526316	1	0.962962962962963
