Sample.1	Sample.2	Sample.3	Sample.4	Sample.5	Sample.6	Sample.7	Sample.8	Sample.9	Sample.10	Sample.11	Sample.12	Sample.13	Sample.14	Sample.15	Sample.16	Sample.17	Sample.18	Sample.19	Sample.20	Sample.21	Sample.22	Sample.23	Sample.24	Sample.25	Sample.26	Sample.27	Sample.28	Sample.29	Sample.30	Sample.31	Sample.32	Sample.33	Sample.34	Sample.35	Sample.36	Sample.37	Sample.38	Sample.39	Sample.40	Sample.41	Sample.42	Sample.43	Sample.44	Sample.45	Sample.46	Sample.47	Sample.48	Sample.49	Sample.50	Sample.51	Sample.52	Sample.53	Sample.54	Sample.55	Sample.56	Sample.57	Sample.58	Sample.59	Sample.60	Sample.61	Sample.62	Sample.63	Sample.64	Sample.65	Sample.66	Sample.67	Sample.68	Sample.69	Sample.70	Sample.71	Sample.72	Sample.73	Sample.74	Sample.75	Sample.76	Sample.77	Sample.78	Sample.79	Sample.80	Sample.81	Sample.82	Sample.83	Sample.84	Sample.85	Sample.86	Sample.87	Sample.88	Sample.89	Sample.90
Sample.1	0	0.658319352822311	0.545586820614092	0.579833646090406	0.64371821537569	0.65120548115244	0.531016614250036	0.745004582834018	0.755625663726897	0.675657155285669	0.684705411158761	0.754300929573128	0.568491243341865	0.562413970723335	0.72331389448655	0.682099557152706	0.674131310227804	0.604723209258751	0.62734098305832	0.609266378038019	0.64277883040748	0.649226259635294	0.6918070242718	0.567640356917736	0.710334483162428	0.560171892457837	0.595906892157308	0.781312028521008	0.722305274023466	0.65895246141141	0.623758805669681	0.564016023398605	0.736142998212049	0.539113312291966	0.583139516670497	0.708877475976631	0.618049071940536	0.561458811519333	0.634562381983296	0.595465805752435	0.714630227410048	0.610561464608538	0.676495532827004	0.696918807491456	0.638293804089286	0.626129094809191	0.618310358224224	0.655499978012946	0.642318278543251	0.536006126132669	0.743660871855408	0.607018888575299	0.704490731365252	0.662822195849646	0.622930854736513	0.747862777573717	0.63934143715074	0.590489921703798	0.620671420272283	0.723428161101836	0.698564560543213	0.682242445490624	0.675842432914263	0.714376549281668	0.527257873378953	0.720393271996151	0.683275550235861	0.702423551835904	0.759763936402298	0.611444717214976	0.705327585203574	0.695154134819596	0.697069379398789	0.580662201849435	0.665841150621184	0.632138835590669	0.704663088804361	0.624235438053828	0.653866131849884	0.697323624482944	0.774630857817043	0.612756534152505	0.577285375036866	0.689702465969203	0.598593264798572	0.727443874122262	0.652729807015066	0.598018390661702	0.714436014701925	0.659669866092036
Sample.2	0.658319352822311	0	0.665297384223879	0.709538454660322	0.671188112420264	0.648106030983795	0.641983198039833	0.803961179748617	0.799523875362983	0.763690393125582	0.733824727170076	0.738521098769139	0.679199295720697	0.68418199841063	0.73221165699233	0.760743748012324	0.752550735673387	0.685686077770282	0.685833097794727	0.574660238821974	0.678669072726948	0.686659059630918	0.541902051841385	0.610080615437579	0.736118889886091	0.584796313717596	0.648847462805479	0.801892067800009	0.744818816410149	0.684528703479264	0.596813781925039	0.552059800208486	0.72114670739565	0.549134535955347	0.689910084293691	0.718140801768643	0.595383831520219	0.714537120488879	0.627392581400001	0.671965352016643	0.708560352189154	0.681694521353279	0.695695580221383	0.712020037719086	0.742491414270317	0.600100589833929	0.74402300370276	0.627781171716071	0.683540072320169	0.570856128841002	0.762451493132571	0.684285305148017	0.64607471982034	0.699027830549508	0.544490580414143	0.784774943006717	0.591889360715155	0.606208940492861	0.621764000238362	0.703409923044501	0.684836228955583	0.745022827706906	0.750119593667701	0.702168429819491	0.569272841597567	0.735630785497042	0.693640143710268	0.727156106000698	0.752714290068318	0.593251832309029	0.56613979525349	0.690445850740358	0.701495306858764	0.679456488430627	0.669008428148407	0.722591683550541	0.662980968333738	0.551898630771422	0.598777412953611	0.748649277783963	0.759212159376508	0.640348572989574	0.618502623727415	0.682750666373162	0.626829506247096	0.684938998912984	0.682971678672821	0.625699032701993	0.674100374719305	0.652292584520447
Sample.3	0.545586820614092	0.665297384223879	0	0.665156960396624	0.597940905932651	0.720851502999294	0.537216571598151	0.758334765859946	0.7671965635471	0.676271861441099	0.705462725277218	0.753175843609805	0.638568029356755	0.608666810436444	0.76188223865067	0.74649726676819	0.711730537893249	0.635148305589342	0.631683681878283	0.618321879954897	0.747140164691764	0.68883181753866	0.68294065831572	0.537153994963891	0.746170087907546	0.542622304805157	0.658460786299417	0.800326929627536	0.746117548948742	0.623512757422997	0.612533411147898	0.648836095605947	0.712783131218208	0.596489003263911	0.632378100923573	0.737554381869366	0.565841120863341	0.608044288249315	0.686506889378929	0.70506569077837	0.745068387526359	0.666089899510276	0.671744561557703	0.728219162239454	0.687102861161192	0.661408992058779	0.6805266058117	0.679745857720194	0.646973072706329	0.600480334700718	0.731658101744022	0.699623354830382	0.640860121218324	0.713859458079543	0.605287358008687	0.734710965847052	0.691548319836466	0.559438205038488	0.652551655029741	0.637095787955691	0.681749487230314	0.735929054999088	0.690544437374886	0.737680424612507	0.537069169826854	0.729718435332902	0.701629956389617	0.731314701615324	0.73466499849683	0.624529071020142	0.604250689105553	0.617642901565971	0.687384771775094	0.619525750031004	0.600865374444887	0.681402782639994	0.786714115863714	0.615849514010828	0.544584960418263	0.717024167138617	0.798328221637834	0.521427547850579	0.559128608533776	0.664043682805181	0.612612984037834	0.718997383641747	0.662414615989445	0.614350655450636	0.704155519856705	0.663936643282588
Sample.4	0.579833646090406	0.709538454660322	0.665156960396624	0	0.569369673463402	0.736398317914856	0.480508446470823	0.649512436195322	0.670920368469553	0.575484718919685	0.595795859015826	0.642806359926268	0.646159675215854	0.640181894577186	0.599081353996586	0.570862801341348	0.534426373110389	0.745404343960863	0.600662780656976	0.751140475402605	0.678312155752132	0.570122886037503	0.650261756546196	0.564987715096704	0.605363016578925	0.703585082546679	0.579796053579265	0.656511769681212	0.679956317113962	0.675458089187025	0.72053764829707	0.653901117748781	0.637250965422282	0.615733159866029	0.750079510394276	0.593813029615827	0.58053589056698	0.672362832584187	0.636756970445096	0.636636362505173	0.578148821570128	0.637858459423962	0.58505526754688	0.612844639143868	0.543318433068917	0.688725992802668	0.472003659290483	0.602292008681372	0.639109330790239	0.620223614483881	0.693755849332484	0.535103244964121	0.721954234840992	0.678200743394463	0.674532054513048	0.650708071929629	0.679536810579996	0.671926954145498	0.62389570204806	0.654518417883707	0.694974191285247	0.537051152841971	0.609375031253558	0.683770016711778	0.682649068521677	0.671161526741244	0.592904775096708	0.595813376297975	0.655007255823125	0.572334695148256	0.7329179565244	0.631548960184339	0.565100169929009	0.633282280010161	0.664690046146786	0.551729491087333	0.817090043253628	0.710583559306069	0.74197346033183	0.610995475099226	0.648303598642434	0.684339574788756	0.685700322753868	0.646474610561938	0.706047645821047	0.637714523686107	0.707063528129045	0.725294224190331	0.714419666487203	0.771191503055851
Sample.5	0.64371821537569	0.671188112420264	0.597940905932651	0.569369673463402	0	0.776699136136887	0.499132401981096	0.648126499254923	0.62147995365496	0.622075049767937	0.568894980145189	0.636791780590655	0.697006941010843	0.658837587728177	0.604730818230015	0.672316760054022	0.610817212826416	0.684661149290438	0.480183936935516	0.687283008877809	0.759975517219318	0.603527647985327	0.7027434754475	0.547213171852609	0.69716370954848	0.670191664009401	0.557287542149633	0.669242052426433	0.687854834890388	0.587300114214413	0.659398320481013	0.67053213963044	0.694697372280894	0.583772877028615	0.63203730926577	0.616917850523288	0.56946332298355	0.725265511764241	0.602217732367362	0.666264549767794	0.597768323776032	0.69896853171763	0.655890061555482	0.671950882518345	0.551934281833061	0.654129988435395	0.530840756106872	0.544124864975221	0.616390322096934	0.690564657478345	0.664153935762179	0.5948677303676	0.714572503068878	0.716576376768723	0.635032316106785	0.633315441556658	0.661596012080828	0.693858220679708	0.658550473656275	0.511062826715528	0.600098594469013	0.567292805944445	0.597802468165338	0.631477641937555	0.656883142464199	0.596436434409673	0.583796180515168	0.584641802389305	0.635487377873638	0.594998615082555	0.668038603049732	0.574623132026064	0.509431085516663	0.706009842819021	0.638362096619188	0.623575503242962	0.726466669613461	0.664369881186346	0.646526662591585	0.611847609202484	0.617694376173391	0.655945725453762	0.593398412900694	0.501057733013845	0.664471116839719	0.513185569686505	0.723902811461031	0.683499617672153	0.574598684473538	0.704472121221977
Sample.6	0.65120548115244	0.648106030983795	0.720851502999294	0.736398317914856	0.776699136136887	0	0.65517645661997	0.798905910568413	0.810598726286954	0.716402407795256	0.790493146846555	0.824274014416701	0.564352565742341	0.658447262813847	0.763741734906751	0.806787634173816	0.778658222393681	0.567285188626437	0.785804691500908	0.570528835639201	0.63055055872495	0.767114190402451	0.608429450258132	0.692018356397042	0.783686706284158	0.625864351098991	0.707771297431228	0.823200107969583	0.810063086239145	0.638080137398824	0.580916673973027	0.574713310150513	0.652582715678283	0.605528633926535	0.63971169609636	0.772344279352331	0.670469361477377	0.62545929069241	0.678126541701846	0.699050498837722	0.801469270406234	0.728238926467462	0.712233278725452	0.679006078059505	0.750307816575768	0.661766083009859	0.765045107815818	0.722741215199821	0.761139737534921	0.622048614533961	0.807717609562841	0.735117039070729	0.619506886174306	0.752837649085993	0.58772907531664	0.821884989964254	0.65925436946014	0.628570248069738	0.667529554790022	0.698082472271023	0.756646081348882	0.782536024656133	0.758584744186476	0.796830764883213	0.636422671526075	0.735878421621909	0.703006964597204	0.794085639278786	0.82945572327279	0.670051531651825	0.592390478591858	0.685862607215631	0.688943879012067	0.614174290611885	0.713711517598594	0.769284247774687	0.73182215024116	0.582417967915609	0.633505208966114	0.805308919102683	0.819247906048358	0.641109054704335	0.685088925664054	0.746529041410847	0.677219935268082	0.765026865448724	0.675689994970808	0.586632923307867	0.794302796752196	0.579243171003344
Sample.7	0.531016614250036	0.641983198039833	0.537216571598151	0.480508446470823	0.499132401981096	0.65517645661997	0	0.645481743840005	0.674375743271361	0.53785976264718	0.577448233036937	0.665937136407515	0.512614835550053	0.471060324323858	0.643175042350732	0.621904808109263	0.627201161743898	0.599382947038778	0.532786250913596	0.580029631205919	0.62675626896156	0.566494403230129	0.566517047053486	0.413524270604808	0.613686046193533	0.603688193689329	0.597203486870566	0.70136231101791	0.67550408818316	0.510175694332188	0.623000660190994	0.607122457295408	0.602236261464827	0.479187549530778	0.602241539586274	0.573769424029604	0.434444206499732	0.590911195731527	0.537456287335458	0.589089420990832	0.63093470016628	0.654586550171648	0.52683761490374	0.536778139528753	0.468919891652402	0.645687114183067	0.504891406479642	0.544760544522085	0.571653872894814	0.53717111466431	0.647112542389684	0.492957353581901	0.658304820815152	0.691865022621971	0.541280907805262	0.661447949224986	0.540240669009344	0.623403249852208	0.519509534324578	0.413348262130812	0.595072899912591	0.563653894744352	0.479170066739158	0.640127448964332	0.526203638528372	0.58035915041644	0.509467605250541	0.61773849160807	0.620748687686137	0.422521628118367	0.636508519866143	0.478388660665344	0.434954963277991	0.45799565345664	0.615832813502788	0.535194569610908	0.735033264183074	0.592210200239803	0.614404883436881	0.608286069458152	0.669156418457716	0.526194395307948	0.559487839822774	0.462481074541803	0.528701113661466	0.586920930307503	0.590771191365487	0.612098570247078	0.588893939088508	0.628895320949505
Sample.8	0.745004582834018	0.803961179748617	0.758334765859946	0.649512436195322	0.648126499254923	0.798905910568413	0.645481743840005	0	0.657739246494649	0.682966194513334	0.701691357555913	0.6737425837437	0.723101259345682	0.74326465626506	0.680024446209159	0.634464769185121	0.73757645113901	0.807343430454998	0.681460451607885	0.793262311674211	0.786253563685927	0.73336312147282	0.775073143260787	0.707371940221089	0.683512529956066	0.814291484476532	0.62623267922055	0.670155487465902	0.686312187857425	0.748422762917466	0.798585889977691	0.763965909800998	0.766567175499711	0.719718551349952	0.775401383317549	0.583240545424086	0.730269914087307	0.7614383352771	0.661778925622633	0.781584448106079	0.631818738002542	0.776747874905871	0.732841976740982	0.70521966968951	0.637007643751463	0.781264875428445	0.590407207222331	0.60650261041849	0.643027296896567	0.740454823123392	0.709004222178367	0.649187367463502	0.771962301764778	0.69759369052401	0.777956028414143	0.656872906169536	0.743565404812132	0.817520085120526	0.715334363434305	0.66366963377052	0.740710304351605	0.617922413049684	0.699461938664209	0.728503198522646	0.772747613456254	0.632229368142685	0.685414532152916	0.6229593895557	0.689301623632764	0.727514456936516	0.792816248417331	0.709483092977917	0.585304856931167	0.74369425452397	0.731937912032467	0.648285595403516	0.808660896522289	0.803458730065518	0.805237510374714	0.639849356252445	0.695198621013527	0.792826961013084	0.734030652912726	0.650778904287753	0.762082096202668	0.636555580576868	0.796752444650131	0.816621022115183	0.726235543510059	0.797465088926602
Sample.9	0.755625663726897	0.799523875362983	0.7671965635471	0.670920368469553	0.62147995365496	0.810598726286954	0.674375743271361	0.657739246494649	0	0.707117442154913	0.69836160054324	0.683248813060117	0.773165857939721	0.807180459491867	0.653361653995199	0.688153816244256	0.731982187821893	0.778705186815113	0.685147597977605	0.796345871832605	0.784308779982761	0.72809646245224	0.803696151735508	0.696766375453378	0.719248894020221	0.799422927381177	0.739827515847536	0.696898690252172	0.703272450057806	0.732893609671166	0.792530090911152	0.747409305786002	0.787924195100984	0.74216885750105	0.755611131919299	0.667192448820366	0.727995229992695	0.79097106269583	0.659463718303787	0.742057164977049	0.658672540782562	0.779552568655739	0.755958275768922	0.700014233308283	0.687628203571833	0.805568136558944	0.65735964632441	0.686131050431441	0.70504043513766	0.755455748384551	0.688064408351969	0.700955748746494	0.807969800171875	0.760046115873254	0.786089469475665	0.690707673664746	0.744191964265706	0.800742248722064	0.753133764127954	0.684524646470326	0.71711489650105	0.665861970951243	0.703976622475498	0.700374541124618	0.785232040471004	0.643843336904453	0.662757369717662	0.68500256185861	0.705709155386339	0.740529092121518	0.803228612888069	0.715136891314849	0.629599081421838	0.764106730087012	0.77656151188656	0.705876791940234	0.783776472745217	0.817167665449256	0.819545932813057	0.68471667576104	0.658194429089118	0.820877178706227	0.781076056869574	0.651684550417912	0.776675909260129	0.64979139984592	0.826935489427074	0.801946557739678	0.726252810542611	0.789865102361834
Sample.10	0.675657155285669	0.763690393125582	0.676271861441099	0.575484718919685	0.622075049767937	0.716402407795256	0.53785976264718	0.682966194513334	0.707117442154913	0	0.692579998202544	0.630394487186492	0.680658487211114	0.674186362011394	0.669594775692357	0.652766270977425	0.664827245773633	0.700816983987163	0.677262788992712	0.746127682739785	0.714306476855244	0.679482715134764	0.68167903081075	0.623613061827134	0.688716537081269	0.710865506308042	0.697122047388048	0.684322487337438	0.771722870436047	0.634158583556714	0.733992259260129	0.712002768267396	0.683458585176046	0.657444594241195	0.676848546119171	0.649872129647453	0.66027042397983	0.668961397962788	0.619821204915392	0.700394391981935	0.721878095947855	0.730672031339703	0.696418435873533	0.674825250335332	0.632825471347837	0.695794378730362	0.653309868542754	0.641908478729101	0.695947344549625	0.731961812499534	0.754655725634871	0.664744053343783	0.734153576604527	0.764777478314561	0.727189846148317	0.680807793001365	0.739181257740324	0.715128979846274	0.721937574631214	0.638442938444636	0.663521170436326	0.624614874040677	0.68508001871118	0.760290340738569	0.714577014273821	0.654026399119575	0.610934731802342	0.663031630198197	0.739331586774888	0.6669868372311	0.730347617964786	0.623161497258376	0.613017053724218	0.609245244073943	0.618620069010577	0.669262510799988	0.802001570683548	0.733660423412326	0.709476457592804	0.701761538791427	0.719196981214894	0.699021431753325	0.64059802803284	0.679970402040509	0.773072174762484	0.687297615177534	0.681854088262867	0.679082557323063	0.763271489664738	0.738782521058969
