Sample.1	Sample.2	Sample.3	Sample.4	Sample.5	Sample.6	Sample.7	Sample.8	Sample.9	Sample.10	Sample.11	Sample.12	Sample.13	Sample.14	Sample.15	Sample.16	Sample.17	Sample.18	Sample.19	Sample.20	Sample.21	Sample.22	Sample.23	Sample.24	Sample.25	Sample.26	Sample.27	Sample.28	Sample.29	Sample.30	Sample.31	Sample.32	Sample.33	Sample.34	Sample.35	Sample.36	Sample.37	Sample.38	Sample.39	Sample.40	Sample.41	Sample.42	Sample.43	Sample.44	Sample.45	Sample.46	Sample.47	Sample.48	Sample.49	Sample.50	Sample.51	Sample.52	Sample.53	Sample.54	Sample.55	Sample.56	Sample.57	Sample.58	Sample.59	Sample.60	Sample.61	Sample.62	Sample.63	Sample.64	Sample.65	Sample.66	Sample.67	Sample.68	Sample.69	Sample.70	Sample.71	Sample.72	Sample.73	Sample.74	Sample.75	Sample.76	Sample.77	Sample.78	Sample.79	Sample.80	Sample.81	Sample.82	Sample.83	Sample.84	Sample.85	Sample.86	Sample.87	Sample.88	Sample.89	Sample.90
Sample.1	0	0.389493577007885	0.169676548075758	0.229572817156189	0.343910574089086	0.354553813077442	0.245958271526213	0.375311408692551	0.458776949317873	0.310603587670194	0.422249454282707	0.391909498603758	0.302480146451577	0.360941738952897	0.428380900518276	0.437263294102784	0.328164825098518	0.359423424916434	0.318882179237779	0.382005036767721	0.346548213121362	0.284378417870632	0.382448776216425	0.30718158470623	0.437059075901546	0.406284725933608	0.236246222852594	0.333766316419799	0.440677917361719	0.412546785310535	0.436819547115559	0.242868161547253	0.351643460525904	0.342357723431297	0.427749071003671	0.510845801769809	0.361431847429108	0.271269094314359	0.401546874742062	0.368414114218319	0.401381122421271	0.260863173965305	0.400242265520636	0.420045589805073	0.406503925880742	0.300991235681257	0.180296039489109	0.281654521430827	0.382713878080436	0.267627691497304	0.390940358920959	0.426406064185821	0.344566172761992	0.251408697217391	0.427159594301908	0.38051503153673	0.263179969943103	0.310457211989481	0.233337357701978	0.430289276197556	0.420571467263609	0.296110309711316	0.433682733645004	0.480251307048813	0.274319302651849	0.422709406123627	0.625048011177234	0.362690857419303	0.645855459358252	0.356994200344816	0.406223587838475	0.406902434263205	0.414906680252451	0.302226507998514	0.365872438778506	0.390589139701628	0.4098609401495	0.426901023287309	0.408378782128974	0.331728963652429	0.412944136635373	0.354259435534556	0.233069945266892	0.479942164977863	0.352752290506222	0.544902190553961	0.193535594003164	0.301671105767283	0.387203235438592	0.448810920264377
Sample.2	0.389493577007885	0	0.424670144687457	0.40161337723217	0.505215912622797	0.435722941590401	0.399887698974936	0.566023744837719	0.612699563428171	0.406000606987135	0.542011977028071	0.48623085055529	0.402080671948741	0.507626751422131	0.547701439909606	0.584087837702364	0.457415613732568	0.533170726207644	0.501492046710694	0.490271225625014	0.438184934945831	0.405053521909799	0.288060335815659	0.468793460332044	0.54276683172035	0.507493563284931	0.394373154941326	0.535330614309465	0.614737401645919	0.601694616301154	0.587245649892716	0.396772387431828	0.404232178741409	0.506741447503741	0.564510867866357	0.601928033243274	0.46279221596682	0.336972922061332	0.503251084144864	0.48576296233395	0.551032545424942	0.345892416093716	0.470281831843107	0.520317532221449	0.593126969804214	0.429999002852746	0.402522141758319	0.440618277211236	0.556596874374651	0.409132287427594	0.524830342172406	0.415358226328665	0.424784363419882	0.440565882139801	0.506821024738758	0.534556930861846	0.455218274575939	0.483398218913335	0.386832815678813	0.531127047722448	0.551816392450607	0.480764115730632	0.508645556396839	0.508152731346901	0.32048774645854	0.568808326345341	0.746071226873281	0.497714121671081	0.75614093378367	0.474831033122681	0.490753684371031	0.480573441902669	0.541798683907511	0.339701758967685	0.377929007877597	0.460539453818642	0.457784387706874	0.521813692445451	0.519192590790603	0.414908528175596	0.531214140688326	0.474173248777969	0.422045213280276	0.637563852848657	0.498012266291642	0.664897699113498	0.36081866789828	0.478234155057064	0.502430166594005	0.545785798202819
Sample.3	0.169676548075758	0.424670144687457	0	0.300853271781473	0.373233350022806	0.404926443799576	0.291387159513938	0.454929090060944	0.526370292644755	0.355677059395941	0.471272911545468	0.442290008135564	0.352634212267069	0.398509623929723	0.47544550183134	0.497602707889388	0.387072622936612	0.405042350579528	0.395703162750002	0.422273040364138	0.393196574958523	0.343741733473051	0.412765162044057	0.345035761983182	0.494001162778745	0.421919233183137	0.321593075587373	0.430302687066563	0.512643197303765	0.360688759371265	0.453741115600946	0.297856985756007	0.384747455772016	0.410194023346456	0.46495051658209	0.545190238525047	0.341421814538193	0.336701442643621	0.453343788674016	0.428445716531261	0.455064308999329	0.325096758993844	0.437778748794971	0.467524868559714	0.476773955432737	0.274102218265914	0.269740017370026	0.356065933915248	0.441074869877326	0.328740688457272	0.438590737121697	0.496352341973773	0.351333066876049	0.338100162016455	0.453407176766806	0.433405533067366	0.310036321358422	0.266641636659889	0.280991135870724	0.45221663308451	0.474607945898331	0.376551803058621	0.46621087101903	0.523536726511745	0.284204719298346	0.470845146304348	0.664951528886217	0.42296006681069	0.66067621164278	0.417374717641684	0.411622038164733	0.435023315303291	0.460328975473994	0.325464489374111	0.323390173108032	0.433636025361229	0.480631502410009	0.445173551210507	0.402435650878694	0.382536842266637	0.48999446270523	0.371604260624733	0.212280371270494	0.521944615592315	0.385791325018364	0.58091327192216	0.22567795890818	0.248571651829036	0.42732767121508	0.479763090723109
Sample.4	0.229572817156189	0.40161337723217	0.300853271781473	0	0.338851222448488	0.360328557286883	0.181574457141914	0.388931124178398	0.473561591114758	0.265818186965248	0.31944623583619	0.319933430720838	0.272851150160435	0.347708990118934	0.316635788605669	0.40035542830613	0.268127252027626	0.400280221486385	0.328451126658928	0.416600501672255	0.345888003635773	0.305447881775213	0.346728360521802	0.336933986568588	0.334066519992546	0.45826905850268	0.279470203950564	0.350696598916545	0.478120917597564	0.441883801369762	0.504654574974157	0.275293526716553	0.312705475182395	0.372574194815633	0.440337911638488	0.433732810708857	0.358930368668126	0.31558915986038	0.334451437206225	0.3261137612994	0.383877783454201	0.248221877863866	0.3737952084821	0.325325735861381	0.423980669905014	0.305302354361212	0.210421469294132	0.338017551872511	0.400401464835393	0.306072804737482	0.395969363710361	0.370686945049755	0.382264179508607	0.326753449048935	0.448447598617359	0.334645655283409	0.294470130596465	0.418955188793299	0.273279088510518	0.367230691483952	0.455164485854731	0.239110594373313	0.382286215833407	0.494077343748009	0.273586156642084	0.374948525717195	0.573776154901539	0.350863694009975	0.618397074949925	0.378484428595476	0.412877845008439	0.392194050290684	0.362603145063257	0.283093241018587	0.394795897361173	0.335268165370715	0.483604700680151	0.475554910120232	0.461815391176868	0.31040603773841	0.382463089387269	0.387188292306812	0.307175421550549	0.450734858216875	0.400468658596275	0.538042375306911	0.27530528198623	0.378089308327564	0.406190215919942	0.483584093507127
Sample.5	0.343910574089086	0.505215912622797	0.373233350022806	0.338851222448488	0	0.514010871502558	0.354069256571246	0.281931707250995	0.259135154137612	0.446229462280396	0.419269934118636	0.432504766469343	0.462925582857761	0.487436598696017	0.322999454105336	0.301563251917638	0.419365868163112	0.492336075312335	0.223261703957052	0.52015483576866	0.501521561058485	0.409917776690294	0.491068299659006	0.221657637960574	0.378544549529917	0.521068410367365	0.298868927145871	0.372966344921472	0.397068684093241	0.476897779563994	0.547990680590919	0.364394198954615	0.441960614182825	0.411779121516916	0.55072722620713	0.364707334968913	0.409121534258735	0.440632091329349	0.452584351320853	0.426134824937666	0.187666567836391	0.380377983489567	0.42296349673323	0.490640747566647	0.246556803323151	0.409350285952364	0.278234256257874	0.334675392429199	0.460029711003893	0.420253319513808	0.369881184518578	0.366848808719574	0.437153342809335	0.385607145554805	0.532363791630042	0.462095215216418	0.395321303909338	0.507144459892446	0.301721091281801	0.426532567253114	0.464325806715807	0.344109319989751	0.229826985548767	0.405487561303092	0.417904033196487	0.367302913808134	0.44891244432406	0.350828189465384	0.487012654292948	0.437463199776897	0.499475682813093	0.512902943967335	0.512087943451895	0.407707981500614	0.476287063082622	0.414811418599655	0.491187324203269	0.540514523590137	0.524731747015963	0.324027619025535	0.391629873068866	0.480488269544747	0.421062786745138	0.281095500512924	0.426083965486583	0.359007539043363	0.36364894140112	0.463500441346554	0.250465777444025	0.555680021457869
Sample.6	0.354553813077442	0.435722941590401	0.404926443799576	0.360328557286883	0.514010871502558	0	0.254141494999394	0.544875228467032	0.615463081318476	0.382632694887584	0.416591824413477	0.537257528548906	0.204174421036424	0.365751416137937	0.500452870434273	0.598754652774483	0.485176835582098	0.357165174447699	0.467375245609442	0.248589821279405	0.153825761327301	0.215572665491318	0.459028546774307	0.453045795438637	0.446829265777537	0.541795877788292	0.42222372737419	0.446997037640542	0.605825832892744	0.416237707441713	0.547112333554598	0.360111791486101	0.230412902852101	0.360711171688155	0.546095759823157	0.633206323427627	0.508767855334641	0.373901737465271	0.401408362860737	0.333629749723727	0.550479578552881	0.391902627579464	0.530095489803812	0.435809187865821	0.566001362287153	0.33895444349011	0.380092753400903	0.466926811105085	0.566106946870134	0.428185688666191	0.525445758985007	0.539275633631216	0.473178089042418	0.421335230436369	0.532008143024003	0.54570285160868	0.320309021781055	0.479924579429293	0.372219951338017	0.54744856962241	0.555884775462637	0.486026075544163	0.561671255875067	0.56596976855155	0.341443400903376	0.508919501641855	0.763365042246157	0.484201493116936	0.773135891010058	0.316951119110614	0.407626604764988	0.448206178345498	0.431600742404897	0.388526215278038	0.416305209687333	0.456171267295693	0.498785701076292	0.559417225595777	0.545066149094298	0.480203301921647	0.562563462259237	0.428884684701476	0.411830226531895	0.619943840932722	0.51046152609257	0.676876742480356	0.366692543082555	0.453629167197162	0.495674504370237	0.559258747302916
Sample.7	0.245958271526213	0.399887698974936	0.291387159513938	0.181574457141914	0.354069256571246	0.254141494999394	0	0.413038244027317	0.49087250260738	0.270016781965836	0.317800420589574	0.398965536207427	0.167706810222495	0.275655365261233	0.370463178379344	0.464187070751704	0.353408243276161	0.297134815522889	0.339106138334061	0.399707463436357	0.290888616712105	0.310290074071038	0.389822166962138	0.333731602491622	0.329363133814717	0.46072002436666	0.322136319343555	0.345383827391896	0.49271541387964	0.347806203241246	0.496837397599707	0.285652575513494	0.327542534092715	0.290030857964441	0.457523831090342	0.488438883045943	0.365955158664474	0.296751430070816	0.350313074989373	0.267401173645869	0.413312691187437	0.277710428117633	0.386736577099574	0.352287363692782	0.443148521005623	0.288105632837361	0.242190825226427	0.351566515267752	0.431645594480122	0.314614078717001	0.399387042116769	0.394698566225302	0.397317462678129	0.340069253712361	0.448502923393621	0.401283532268102	0.191167916038833	0.392593366121868	0.276404358172249	0.401221129297655	0.468442758287941	0.321901032151303	0.401870707356771	0.498871775025407	0.267637101787625	0.372002592986385	0.621947523588349	0.365626839731187	0.637194307003541	0.375080990889381	0.343667997752105	0.389914218936051	0.330227948917225	0.305650345620494	0.384069541737075	0.294077650637516	0.471949534626378	0.477729942161901	0.459599378955092	0.356709375031942	0.42034862885669	0.336491981617992	0.312279704732148	0.477477050103566	0.397371748460559	0.548881728838024	0.278142069379819	0.367695246746406	0.391130469723485	0.482718426920991
Sample.8	0.375311408692551	0.566023744837719	0.454929090060944	0.388931124178398	0.281931707250995	0.544875228467032	0.413038244027317	0	0.323600991613309	0.475092782633175	0.493068557108863	0.474223325302564	0.467589523273176	0.525449191842904	0.36548154438678	0.30836180267666	0.522720887177722	0.539189882536039	0.260041420914533	0.54658306403514	0.533847122069192	0.457686560156287	0.536201642176404	0.27588105800317	0.400613563128684	0.595234284682438	0.382313946873714	0.381061185274828	0.363787356940788	0.536376832370481	0.584212658706852	0.446416560057176	0.512483422048081	0.500656596014663	0.607169912613072	0.375505354369379	0.457998239289681	0.465391236512114	0.482243873470287	0.532828223144838	0.285242437335879	0.4606597246985	0.507936926262799	0.494505002769571	0.304888512256001	0.456022122555939	0.350347768657104	0.29669216851521	0.44970036124074	0.475194111240648	0.469584068276537	0.398897782237753	0.511630610592414	0.328905007780178	0.592105398853077	0.49737675852849	0.449786699689123	0.571016639653462	0.38702834478511	0.467951684734241	0.58145554497778	0.345233801281469	0.383770697595272	0.450503037886992	0.468392135303438	0.453643300421255	0.498501751959417	0.404742052923287	0.525415524069908	0.504633286217582	0.555895839300796	0.566938822288842	0.537621820107375	0.426634434706799	0.483258926788543	0.428484083708902	0.571201765830284	0.611526775803235	0.598262423529413	0.424812992325456	0.44956033519929	0.54886649073685	0.421588327704152	0.334752739499963	0.509035582214903	0.398190440463497	0.435038968161022	0.538503510963603	0.375043461661886	0.611139397450559
Sample.9	0.458776949317873	0.612699563428171	0.526370292644755	0.473561591114758	0.259135154137612	0.615463081318476	0.49087250260738	0.323600991613309	0	0.565528102773332	0.555446301841595	0.52309629788463	0.566876953693122	0.616418078696469	0.409278836345476	0.30157891330977	0.570610798635047	0.615832797327055	0.305898687834099	0.621945737167045	0.604006862934537	0.517461100125826	0.616828562025655	0.32422043667585	0.482774296368835	0.6516437136499	0.405059997965853	0.40651950459902	0.362469885826599	0.600750258676362	0.669715176974304	0.484663671381495	0.570464216347025	0.510335278859905	0.683834118314632	0.389567311958288	0.505063796881455	0.523461494407707	0.546865709734783	0.538701118311065	0.271664797782502	0.482052163443438	0.562917872484466	0.57812830362635	0.281700517293735	0.525843751335013	0.402212319280031	0.421068889455545	0.526660759600059	0.514160066936256	0.465878613305472	0.451256232674104	0.566781258392681	0.465722939074277	0.648832897220273	0.535343533624385	0.50825126555292	0.634630356970762	0.422020338220372	0.544329609410899	0.575946176600723	0.451750242866169	0.368977083571979	0.518408793473836	0.513341529305438	0.496445448238816	0.450924108355171	0.412782793350549	0.494574875217043	0.523355764525194	0.610933238798276	0.615085672847853	0.637001253894637	0.509688418549667	0.579135504595648	0.51138033962107	0.584992389859912	0.669536157789823	0.656621206596694	0.387596434501548	0.460123882962893	0.608069616256381	0.54300180426591	0.253024094308434	0.514588888077921	0.329833128353809	0.489953353382908	0.594584742389857	0.380022872433966	0.667901644559447
Sample.10	0.310603587670194	0.406000606987135	0.355677059395941	0.265818186965248	0.446229462280396	0.382632694887584	0.270016781965836	0.475092782633175	0.565528102773332	0	0.383041399848821	0.375006961075935	0.289376855167685	0.399557034355673	0.382127002120116	0.509829065752456	0.354089325018196	0.409532626860405	0.439490934541955	0.488151594588949	0.406024014055807	0.402997331106575	0.373229169044609	0.438249591352511	0.403181854067835	0.48223670491267	0.373973226392986	0.410133334695787	0.58873670338949	0.483461619934743	0.551763862872966	0.3736346125255	0.39783442634293	0.410136170623114	0.444538359305487	0.521174904037599	0.447354944755161	0.271120421146598	0.41916509512067	0.382860892063752	0.507186248810863	0.355138992499254	0.466143710631809	0.414688419883309	0.524452301194283	0.381097319431031	0.336309109433299	0.433040844691501	0.47753010710769	0.395283071465504	0.49576700722084	0.465014404047444	0.430777366897219	0.389306542745854	0.489090736764431	0.389662349419259	0.336402147144572	0.424386913002101	0.363513256506455	0.421271045237185	0.524834573782969	0.323560958233715	0.477892890107734	0.595382933323301	0.345832116467035	0.450639731233543	0.677340513637588	0.423813656763161	0.722640741824511	0.466669502873313	0.434126138240771	0.460612914646741	0.36520601259618	0.26316769497062	0.3624039032914	0.402889844663214	0.521720218376245	0.500851193714771	0.477894133390423	0.407001159075525	0.484705970692639	0.387177575157443	0.374362773707963	0.535507250830535	0.469314255666393	0.638254077457321	0.306264662173604	0.393979705324069	0.498472037037072	0.516150752448021
