Sample.1	Sample.2	Sample.3	Sample.4	Sample.5	Sample.6	Sample.7	Sample.8	Sample.9	Sample.10	Sample.11	Sample.12	Sample.13	Sample.14	Sample.15	Sample.16	Sample.17	Sample.18	Sample.19	Sample.20	Sample.21	Sample.22	Sample.23	Sample.24	Sample.25	Sample.26	Sample.27	Sample.28	Sample.29	Sample.30	Sample.31	Sample.32	Sample.33	Sample.34	Sample.35	Sample.36	Sample.37	Sample.38	Sample.39	Sample.40	Sample.41	Sample.42	Sample.43	Sample.44	Sample.45	Sample.46	Sample.47	Sample.48	Sample.49	Sample.50	Sample.51	Sample.52	Sample.53	Sample.54	Sample.55	Sample.56	Sample.57	Sample.58	Sample.59	Sample.60	Sample.61	Sample.62	Sample.63	Sample.64	Sample.65	Sample.66	Sample.67	Sample.68	Sample.69	Sample.70	Sample.71	Sample.72	Sample.73	Sample.74	Sample.75	Sample.76	Sample.77	Sample.78	Sample.79	Sample.80	Sample.81	Sample.82	Sample.83	Sample.84	Sample.85	Sample.86	Sample.87	Sample.88	Sample.89	Sample.90
Sample.1	0	0.98993288590604	0.924496644295302	0.791946308724832	0.956375838926175	0.988255033557047	0.822147651006711	1	1	0.907718120805369	1	0.964765100671141	0.971476510067114	0.937919463087248	0.974832214765101	1	0.949664429530201	0.89261744966443	0.902684563758389	1	1	0.954697986577181	1	0.724832214765101	0.98993288590604	0.932885906040268	0.906040268456376	0.991610738255034	1	1	1	0.88758389261745	0.983221476510067	0.956375838926175	1	1	0.988255033557047	0.973154362416107	1	1	0.973154362416107	0.971476510067114	1	1	0.978187919463087	0.991610738255034	0.837248322147651	0.86241610738255	1	0.964765100671141	1	0.917785234899329	0.988255033557047	1	0.971476510067114	0.978187919463087	1	0.941275167785235	0.958053691275168	0.971476510067114	1	0.865771812080537	0.919463087248322	1	0.924496644295302	1	1	0.978187919463087	1	1	1	1	1	0.964765100671141	0.971476510067114	0.937919463087248	0.988255033557047	0.941275167785235	0.961409395973154	1	0.988255033557047	0.973154362416107	0.966442953020134	0.934563758389262	1	1	0.959731543624161	0.845637583892617	1	1
Sample.2	0.98993288590604	0	0.996644295302013	1	1	0.966442953020134	0.946308724832215	1	1	1	1	1	0.847315436241611	1	1	1	0.966442953020134	1	0.98993288590604	0.966442953020134	0.966442953020134	0.966442953020134	1	1	0.99496644295302	1	1	1	1	1	1	1	0.966442953020134	0.981543624161074	1	1	1	0.969798657718121	1	0.936241610738255	1	0.966442953020134	1	0.966442953020134	1	0.966442953020134	0.998322147651007	1	0.944630872483222	1	1	0.98993288590604	1	1	1	1	1	1	0.98489932885906	1	0.968120805369127	0.98993288590604	1	1	1	1	1	1	1	0.966442953020134	1	1	1	1	0.736577181208054	0.98993288590604	1	1	1	1	1	1	1	0.98993288590604	1	0.98489932885906	1	1	1	1
Sample.3	0.924496644295302	0.996644295302013	0	0.914429530201342	0.921140939597315	1	0.808724832214765	1	0.98489932885906	0.932885906040268	1	1	1	0.974832214765101	1	1	1	0.993288590604027	0.951342281879195	0.956375838926175	1	0.98489932885906	1	0.929530201342282	0.981543624161074	0.958053691275168	0.993288590604027	0.991610738255034	1	1	0.968120805369127	0.963087248322148	0.941275167785235	0.996644295302013	1	0.98993288590604	0.973154362416107	0.998322147651007	1	0.978187919463087	1	0.974832214765101	0.973154362416107	0.993288590604027	1	1	0.884228187919463	0.874161073825503	1	0.934563758389262	1	0.99496644295302	0.949664429530201	0.966442953020134	0.993288590604027	1	0.971476510067114	0.833892617449664	0.993288590604027	0.993288590604027	0.961409395973154	0.958053691275168	0.953020134228188	1	0.929530201342282	1	0.998322147651007	0.946308724832215	1	0.988255033557047	0.993288590604027	0.993288590604027	1	0.969798657718121	1	0.966442953020134	1	0.993288590604027	0.961409395973154	0.988255033557047	1	0.941275167785235	0.973154362416107	0.968120805369127	0.993288590604027	0.971476510067114	0.939597315436242	0.993288590604027	1	0.993288590604027
Sample.4	0.791946308724832	1	0.914429530201342	0	0.914429530201342	0.991610738255034	0.837248322147651	1	1	0.773489932885906	1	0.969798657718121	0.978187919463087	0.890939597315436	0.968120805369127	0.98489932885906	0.919463087248322	0.932885906040268	0.840604026845638	1	1	0.991610738255034	0.98993288590604	0.860738255033557	0.993288590604027	0.978187919463087	0.884228187919463	0.98993288590604	1	1	0.976510067114094	0.885906040268456	0.973154362416107	0.979865771812081	1	0.974832214765101	0.954697986577181	0.979865771812081	1	1	0.941275167785235	0.978187919463087	0.98993288590604	0.981543624161074	0.961409395973154	0.991610738255034	0.741610738255034	0.914429530201342	0.973154362416107	0.959731543624161	1	0.917785234899329	0.973154362416107	1	0.983221476510067	0.983221476510067	0.991610738255034	0.953020134228188	0.953020134228188	0.986577181208054	1	0.817114093959732	0.968120805369127	1	0.889261744966443	1	0.979865771812081	0.951342281879195	0.988255033557047	1	0.954697986577181	0.99496644295302	0.983221476510067	0.937919463087248	0.959731543624161	0.911073825503356	1	0.99496644295302	0.974832214765101	0.98993288590604	1	0.936241610738255	1	0.974832214765101	0.986577181208054	1	0.979865771812081	0.99496644295302	1	0.99496644295302
Sample.5	0.956375838926175	1	0.921140939597315	0.914429530201342	0	1	0.993288590604027	1	0.971476510067114	0.958053691275168	0.976510067114094	0.936241610738255	1	1	0.986577181208054	0.976510067114094	0.951342281879195	1	0.85738255033557	1	1	1	1	1	1	0.979865771812081	0.909395973154362	0.981543624161074	1	1	0.974832214765101	0.941275167785235	0.974832214765101	0.991610738255034	1	1	0.979865771812081	1	1	0.963087248322148	0.969798657718121	0.963087248322148	0.937919463087248	0.993288590604027	0.974832214765101	1	0.845637583892617	0.998322147651007	0.986577181208054	0.988255033557047	1	0.973154362416107	0.974832214765101	1	0.988255033557047	0.986577181208054	1	0.966442953020134	0.98993288590604	0.988255033557047	0.988255033557047	0.894295302013423	0.843959731543624	1	0.986577181208054	0.986577181208054	1	0.974832214765101	0.98993288590604	1	0.988255033557047	0.988255033557047	1	1	0.983221476510067	0.959731543624161	0.986577181208054	0.988255033557047	0.978187919463087	0.988255033557047	0.998322147651007	0.954697986577181	1	0.998322147651007	0.98993288590604	0.958053691275168	1	0.988255033557047	1	0.988255033557047
Sample.6	0.988255033557047	0.966442953020134	1	0.991610738255034	1	0	0.974832214765101	1	1	0.988255033557047	0.86744966442953	1	0.889261744966443	1	0.924496644295302	0.991610738255034	0.926174496644295	1	1	0.630872483221476	0.619127516778524	0.619127516778524	1	0.981543624161074	0.917785234899329	1	1	0.954697986577181	1	0.778523489932886	1	1	0.516778523489933	0.988255033557047	1	0.976510067114094	0.991610738255034	0.986577181208054	0.852348993288591	0.763422818791946	1	0.921140939597315	1	0.721476510067114	1	0.87751677852349	1	0.988255033557047	1	0.949664429530201	1	0.98993288590604	0.988255033557047	1	0.988255033557047	1	1	1	0.979865771812081	0.988255033557047	0.968120805369127	0.988255033557047	1	1	0.988255033557047	0.944630872483222	1	0.983221476510067	1	0.651006711409396	1	1	1	0.953020134228188	1	1	1	1	1	1	1	1	0.885906040268456	1	1	1	0.988255033557047	0.98993288590604	1	1
Sample.7	0.822147651006711	0.946308724832215	0.808724832214765	0.837248322147651	0.993288590604027	0.974832214765101	0	1	0.98489932885906	0.790268456375839	1	1	0.932885906040268	0.906040268456376	0.974832214765101	1	0.988255033557047	0.855704697986577	0.939597315436242	0.979865771812081	1	0.963087248322148	0.979865771812081	0.790268456375839	0.98489932885906	0.974832214765101	0.922818791946309	1	1	1	0.996644295302013	0.879194630872483	0.959731543624161	0.963087248322148	1	0.98993288590604	0.978187919463087	0.929530201342282	1	1	0.974832214765101	0.996644295302013	1	0.996644295302013	0.98489932885906	0.991610738255034	0.880872483221476	0.911073825503356	1	0.963087248322148	1	0.974832214765101	0.98489932885906	0.993288590604027	0.953020134228188	0.991610738255034	0.979865771812081	0.944630872483222	0.916107382550336	0.929530201342282	0.996644295302013	0.885906040268456	0.939597315436242	1	0.823825503355705	1	1	0.979865771812081	1	1	0.942953020134228	0.996644295302013	1	0.958053691275168	0.986577181208054	0.768456375838926	1	0.981543624161074	0.954697986577181	1	0.974832214765101	0.939597315436242	0.951342281879195	0.958053691275168	0.996644295302013	0.979865771812081	0.894295302013423	0.981543624161074	1	0.996644295302013
Sample.8	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.956375838926175	1	1	1	1	1	1	1	1	1	0.981543624161074	1	1	1	1	1	1	1	1	1	1	0.988255033557047	0.986577181208054	1	0.99496644295302	0.974832214765101	1	1	1	1	1	1	1	0.99496644295302	0.983221476510067	1	0.973154362416107	0.956375838926175	1	0.976510067114094	1	1	1	1	1	1	1	1	1	1	0.956375838926175	0.956375838926175	0.956375838926175	0.974832214765101	1	1	1	1	0.988255033557047	1	1	0.956375838926175	1	0.981543624161074	1	1	1	1
Sample.9	1	1	0.98489932885906	1	0.971476510067114	1	0.98489932885906	1	0	1	1	0.969798657718121	1	1	0.996644295302013	1	1	1	0.969798657718121	0.98489932885906	1	1	1	0.98489932885906	1	1	1	0.833892617449664	1	1	1	0.98489932885906	0.98489932885906	0.983221476510067	1	0.98993288590604	0.993288590604027	1	1	0.855704697986577	1	0.979865771812081	1	0.996644295302013	0.996644295302013	1	1	1	1	1	1	0.98993288590604	1	1	1	1	0.98489932885906	1	0.983221476510067	1	1	0.988255033557047	0.968120805369127	1	0.98489932885906	1	1	1	0.996644295302013	1	1	1	1	1	1	0.991610738255034	1	1	1	1	0.88255033557047	1	1	0.98489932885906	1	0.978187919463087	0.98489932885906	1	1	1
Sample.10	0.907718120805369	1	0.932885906040268	0.773489932885906	0.958053691275168	0.988255033557047	0.790268456375839	1	1	0	1	0.971476510067114	0.983221476510067	0.914429530201342	0.98489932885906	0.996644295302013	0.969798657718121	0.929530201342282	0.88758389261745	1	1	0.983221476510067	0.979865771812081	0.894295302013423	0.981543624161074	1	0.958053691275168	0.998322147651007	1	1	0.973154362416107	0.99496644295302	0.953020134228188	0.964765100671141	1	1	0.971476510067114	0.939597315436242	1	1	0.971476510067114	0.996644295302013	1	0.993288590604027	0.978187919463087	0.991610738255034	0.911073825503356	0.954697986577181	0.969798657718121	1	1	0.98489932885906	0.953020134228188	0.991610738255034	0.983221476510067	0.98489932885906	1	0.894295302013423	0.978187919463087	0.983221476510067	1	0.914429530201342	0.949664429530201	1	0.978187919463087	1	1	0.993288590604027	1	1	0.951342281879195	1	0.986577181208054	0.983221476510067	0.986577181208054	0.912751677852349	1	1	0.964765100671141	1	1	0.906040268456376	1	0.996644295302013	1	1	0.969798657718121	1	1	1
